,States,year,month,Segment,Labor Force,Unemployed,Unemployment Rate (%),Trump (%),Biden (%),New Case,New Case Per 10$^6$,New Death,New Death Per 10$^6$
0,California,2020,1,1-1,19477354.0,839987.0,4.31,44.63,48.93,,,,
1,California,,1,1-2,19502919.5,841174.0,4.31,,,,,,
2,California,2020,2,2-1,19528485.0,842361.0,4.31,42.76,48.49,,,,
3,California,2020,2,2-2,19360301.0,974383.5,5.035,40.63,50.21,0.3333,0.00067,0.0,0.0
4,California,,3,3-1,19192117.0,1106406.0,5.76,,,0.2857,0.00071,0.0,0.0
5,California,2020,3,3-2,18855194.5,2050098.5,10.965,44.49,49.73,24.0667,0.062,0.3333,0.00133
6,California,,4,4-1,18518272.0,2993791.0,16.17,,,491.25,1.24188,10.5,0.0275
7,California,,4,4-2,18470830.5,2971618.0,16.090000000000003,,,1230.2,3.11133,45.8,0.116
8,California,2020,5,5-1,18423389.0,2949445.0,16.01,43.83,48.57,1562.9333,3.95133,78.0667,0.19533
9,California,2020,5,5-2,18675873.5,2900796.0,15.540000000000001,43.44,48.44,1770.8667,4.47667,73.6667,0.18667
10,California,2020,6,6-1,18928358.0,2852147.0,15.07,43.27,50.36,2203.625,5.57,64.75,0.16375
11,California,,6,6-2,18924109.5,2738376.5,14.469999999999999,,,2918.3333,7.37667,62.8,0.158
12,California,2020,7,7-1,18919861.0,2624606.0,13.87,43.97,49.95,5046.1333,12.75733,64.5333,0.16267
13,California,2020,7,7-2,18799220.0,2372240.5,12.61,42.68,49.17,8231.1333,20.808,86.2,0.21867
14,California,2020,8,8-1,18678579.0,2119875.0,11.35,43.71,50.34,9104.4375,23.01562,114.9375,0.29125
15,California,2020,8,8-2,18719894.0,2068542.5,11.05,43.71,49.63,7829.2,19.79133,133.6,0.33733
16,California,2020,9,9-1,18761209.0,2017210.0,10.75,43.88,51.23,5905.0625,14.92812,112.75,0.28438
17,California,2020,9,9-2,19051419.5,1876749.0,9.865,43.37,53.3,3715.2667,9.392,104.8,0.26467
18,California,2020,10,10-1,19341630.0,1736288.0,8.98,44.97,49.95,3394.0667,8.58067,86.0667,0.21867
19,Wisconsin,2020,1,1-1,3085640.0,131019.0,4.25,44.63,48.93,,,,
20,Wisconsin,,1,1-2,3090558.5,127701.0,4.135,,,11993.6667,41.78556,138.8889,0.48444
21,Wisconsin,2020,2,2-1,3095477.0,124383.0,4.02,42.76,48.49,,,,
22,Wisconsin,2020,2,2-2,3084409.0,113788.0,3.6899999999999995,40.63,50.21,0.0,0.0,0.0,0.0
23,Wisconsin,2020,3,3-1,3073341.0,103193.0,3.36,45.88,45.63,0.0,0.0,0.0,0.0
